,time,min,avg,max,norm_factor
472,1712395002.772046,0.305,0.38068,0.426,0.41562
473,1712395425.4688103,0.173,0.36058,0.414,0.41537
474,1712395548.329523,0.358,0.3935,0.434,0.40607
475,1712395682.2073023,0.205,0.36636,0.43,0.41813
476,1712395793.9862323,0.333,0.40631,0.442,0.40657
477,1712395894.6387842,0.333,0.39551,0.438,0.41059
478,1712396262.2639081,0.169,0.35933,0.434,0.39326
479,1712396396.0072968,0.197,0.37491,0.438,0.41738
480,1712396507.8462708,0.362,0.41486,0.446,0.40683
481,1712396597.5529852,0.329,0.41586,0.446,0.40884
482,1712396687.250631,0.341,0.42013,0.45,0.40657
483,1712397065.8288503,0.217,0.38043,0.434,0.4013
484,1712397199.7129447,0.229,0.37717,0.442,0.40054
485,1712397322.6464798,0.241,0.37541,0.434,0.40632
486,1712397412.251263,0.321,0.40254,0.454,0.41964
487,1712397534.971782,0.354,0.40531,0.45,0.43873
488,1712397902.5122218,0.217,0.35682,0.422,0.40306
489,1712398036.5473137,0.241,0.39601,0.43,0.41838
490,1712398126.201059,0.333,0.41888,0.454,0.39853
491,1712398226.8612506,0.265,0.40229,0.434,0.41461
492,1712398382.8873074,0.337,0.37164,0.43,0.42492
493,1712398772.580414,0.378,0.40832,0.446,0.4018
494,1712398873.161312,0.325,0.38094,0.418,0.40607
495,1712398995.8208392,0.281,0.38219,0.41,0.40657
496,1712399118.8631475,0.305,0.38521,0.426,0.39627
497,1712399252.851486,0.261,0.35631,0.398,0.40205
498,1712399664.6451483,0.265,0.35229,0.418,0.39728
499,1712399798.1826527,0.35,0.3744,0.418,0.40029
500,1712400326.874257,0.233,0.38546,0.418,0.436
501,1712400482.495627,0.337,0.40129,0.446,0.41411
502,1712400872.1049497,0.189,0.33219,0.402,0.40456
503,1712401017.1419532,0.329,0.38244,0.414,0.40482
504,1712401151.1420846,0.273,0.35656,0.39,0.38421
505,1712401307.2171414,0.265,0.36084,0.406,0.41411
506,1712401452.275132,0.321,0.36837,0.41,0.40657
507,1712401875.0327635,0.249,0.35455,0.402,0.39678
508,1712401997.7740781,0.333,0.37842,0.41,0.391
509,1712402131.6032765,0.181,0.34526,0.406,0.39326
510,1712402276.4951925,0.241,0.38571,0.41,0.40255
511,1712402399.273383,0.257,0.38094,0.41,0.3915
512,1712402822.0860424,0.177,0.3646,0.41,0.39426
513,1712402955.8921075,0.189,0.36737,0.414,0.40431
514,1712403100.581518,0.253,0.37767,0.406,0.39778
515,1712403223.1531107,0.337,0.38797,0.422,0.40582
516,1712403345.8808298,0.329,0.39526,0.426,0.4018
517,1712403768.5884545,0.193,0.3646,0.414,0.38748
518,1712403902.2437458,0.293,0.34752,0.406,0.39828
519,1712404024.8658829,0.229,0.36536,0.414,0.40557
520,1712404092.1130614,0.285,0.33621,0.41,0.37466
521,1712404225.874888,0.213,0.37063,0.41,0.40456
522,1712404670.7443361,0.205,0.35028,0.37,0.38672
523,1712404793.6812835,0.313,0.36687,0.418,0.392
524,1712404872.3931677,0.305,0.37264,0.418,0.37115
525,1712404962.0132067,0.289,0.37114,0.418,0.36713
526,1712405096.1191702,0.273,0.3636,0.406,0.38245
527,1712405519.0662034,0.241,0.34073,0.406,0.36713
528,1712405653.0265687,0.277,0.33345,0.394,0.36361
529,1712405775.8142803,0.197,0.33898,0.37,0.36889
530,1712405931.888591,0.265,0.33119,0.398,0.38044
531,1712406076.9121292,0.253,0.36988,0.406,0.38899
532,1712406521.7209961,0.201,0.30682,0.402,0.39753
533,1712406644.5703468,0.305,0.37239,0.418,0.39979
534,1712406778.3670707,0.297,0.33973,0.406,0.38321
535,1712406901.2381766,0.269,0.34224,0.394,0.3724
536,1712407024.3785017,0.281,0.3631,0.398,0.3719
537,1712407458.3217728,0.161,0.32541,0.398,0.37291
538,1712407537.0048926,0.169,0.33395,0.39,0.348
539,1712407681.6641183,0.205,0.35732,0.386,0.38296
540,1712407826.7178857,0.193,0.34249,0.386,0.38471
541,1712407927.4249554,0.329,0.36787,0.406,0.37014
542,1712408328.118293,0.313,0.35983,0.402,0.37115
543,1712408462.0020635,0.233,0.36536,0.398,0.38873
544,1712408551.8959157,0.157,0.34777,0.394,0.36587
545,1712408686.294779,0.237,0.36737,0.402,0.38497
546,1712408798.0700057,0.341,0.3847,0.41,0.38798
547,1712409231.9790947,0.181,0.37591,0.402,0.38974
548,1712409387.8601117,0.217,0.37566,0.41,0.39828
549,1712409477.762395,0.325,0.40229,0.418,0.38873
550,1712409600.6796026,0.273,0.38094,0.414,0.37642
551,1712409734.423569,0.209,0.36084,0.41,0.39828
552,1712410179.3641646,0.261,0.36058,0.41,0.38245
553,1712410302.1159863,0.293,0.3636,0.422,0.38371
554,1712410425.0696821,0.277,0.37842,0.422,0.40557
555,1712410492.6729054,0.289,0.37089,0.422,0.38145
556,1712410582.851189,0.333,0.38747,0.422,0.39074
557,1712411323.6418874,0.217,0.32541,0.41,0.422
558,1712411556.7137232,0.269,0.35656,0.398,0.4214
559,1712411723.6258693,0.301,0.37566,0.414,0.40105
560,1712411879.5577416,0.285,0.35933,0.418,0.39627
561,1712412057.7949157,0.329,0.37541,0.41,0.41085
562,1712412502.8210888,0.241,0.3445,0.398,0.39703
563,1712412636.6602187,0.253,0.37666,0.406,0.38547
564,1712412814.781208,0.293,0.36058,0.41,0.4013
565,1712412993.2020292,0.265,0.35355,0.41,0.39426
566,1712413171.5170803,0.265,0.35104,0.386,0.39477
567,1712413628.1102026,0.189,0.32968,0.398,0.4008
568,1712413806.584642,0.265,0.3543,0.39,0.40205
569,1712413962.635228,0.329,0.35656,0.394,0.39024
570,1712414107.7576616,0.305,0.36259,0.406,0.39477
571,1712414297.574639,0.301,0.35028,0.398,0.40255
572,1712414776.1531994,0.245,0.35656,0.386,0.40054
573,1712414954.3560755,0.261,0.37013,0.406,0.40155
574,1712415132.707686,0.265,0.37139,0.406,0.39276
575,1712415255.6467505,0.273,0.37943,0.41,0.38622
576,1712415411.6854036,0.261,0.36963,0.406,0.39276
577,1712415868.394022,0.253,0.35682,0.406,0.40281
578,1712416013.5030246,0.269,0.37918,0.418,0.39376
579,1712416191.5890985,0.273,0.35179,0.41,0.39300999999999997
580,1712416347.5872781,0.313,0.37465,0.41,0.40255
581,1712416525.83039,0.277,0.38295,0.414,0.40054
582,1712417003.9366171,0.269,0.36209,0.406,0.40331
