,time,x,z
2767,1712486510.4318736,0.0,20.0
2768,1712486577.670563,0.0,-10.0
2769,1712486588.7316914,-10.0,0.0
2770,1712486632.9077473,0.0,15.0
2771,1712486711.2113278,0.0,-15.0
2772,1712486722.2685966,-10.0,0.0
2773,1712486777.5103316,0.0,20.0
2774,1712486844.7438858,0.0,-10.0
2775,1712486855.7907166,-10.0,0.0
2776,1712486899.9914856,0.0,15.0
2777,1712487278.297423,0.0,-15.0
2778,1712487289.3518312,-10.0,0.0
2779,1712487344.5872488,0.0,20.0
2780,1712487422.879901,0.0,-15.0
2781,1712487433.9363523,-10.0,0.0
2782,1712487489.1398587,0.0,20.0
2783,1712487545.295057,0.0,-5.0
2784,1712487556.3445547,-10.0,0.0
2785,1712487589.4478374,0.0,10.0
2786,1712487656.6573913,0.0,-10.0
2787,1712487667.7084188,-10.0,0.0
2788,1712487711.8879542,0.0,15.0
2789,1712487779.119125,0.0,-10.0
2790,1712487790.173721,-10.0,0.0
2791,1712487834.3418224,0.0,15.0
2792,1712488212.6161022,0.0,-15.0
2793,1712488223.6755145,-10.0,0.0
2794,1712488278.9017699,0.0,20.0
2795,1712488357.196387,0.0,-15.0
2796,1712488368.242665,-10.0,0.0
2797,1712488423.4616725,0.0,20.0
2798,1712488479.6267667,0.0,-5.0
2799,1712488490.6797824,-10.0,0.0
2800,1712488523.8058126,0.0,10.0
2801,1712488591.0491219,0.0,-10.0
2802,1712488602.1010034,-10.0,0.0
2803,1712488646.2949393,0.0,15.0
2804,1712488724.6104097,0.0,-15.0
2805,1712488735.6656845,-10.0,0.0
2806,1712488790.9039652,0.0,20.0
2807,1712489158.1606371,0.0,-10.0
2808,1712489169.230684,-10.0,0.0
2809,1712489202.3619127,0.0,10.0
2810,1712489258.5685759,0.0,-5.0
2811,1712489269.6171713,-10.0,0.0
2812,1712489302.742151,0.0,10.0
2813,1712489369.9679618,0.0,-10.0
2814,1712489381.0243146,-10.0,0.0
2815,1712489425.2325628,0.0,15.0
2816,1712489492.452044,0.0,-10.0
2817,1712489503.5057988,-10.0,0.0
2818,1712489547.692791,0.0,15.0
2819,1712489614.9460356,0.0,-10.0
2820,1712489625.9955673,-10.0,0.0
2821,1712489670.1758852,0.0,15.0
2822,1712490048.4533951,0.0,-15.0
2823,1712490059.521652,-10.0,0.0
2824,1712490114.7777605,0.0,20.0
2825,1712490182.0373614,0.0,-10.0
2826,1712490193.105717,-10.0,0.0
2827,1712490237.2647076,0.0,15.0
2828,1712490315.585616,0.0,-15.0
2829,1712490326.6397893,-10.0,0.0
2830,1712490381.8695164,0.0,20.0
2831,1712490460.1587348,0.0,-15.0
2832,1712490471.218732,-10.0,0.0
2833,1712490526.4683764,0.0,20.0
2834,1712490593.7409477,0.0,-10.0
2835,1712490604.8032048,-10.0,0.0
2836,1712490648.9731858,0.0,15.0
2837,1712491016.2131963,0.0,-10.0
2838,1712491027.2658885,-10.0,0.0
2839,1712491071.4217205,0.0,15.0
2840,1712491138.6711547,0.0,-10.0
2841,1712491149.7283297,-10.0,0.0
2842,1712491193.911568,0.0,15.0
2843,1712491283.2579968,0.0,-20.0
2844,1712491294.3157146,-10.0,0.0
2845,1712491360.583932,0.0,25.0
2846,1712491438.8485136,0.0,-15.0
2847,1712491449.911142,-10.0,0.0
2848,1712491516.1924527,0.0,25.0
2849,1712491583.42145,0.0,-10.0
2850,1712491594.469223,-10.0,0.0
2851,1712491627.5914435,0.0,10.0
2852,1712491994.8353457,0.0,-10.0
2853,1712492005.8886697,-10.0,0.0
2854,1712492050.0662944,0.0,15.0
2855,1712492128.37922,0.0,-15.0
2856,1712492139.4293263,-10.0,0.0
2857,1712492194.6560428,0.0,20.0
2858,1712492261.8973765,0.0,-10.0
2859,1712492272.948348,-10.0,0.0
2860,1712492317.1120903,0.0,15.0
2861,1712492395.4030144,0.0,-15.0
2862,1712492406.4554224,-10.0,0.0
2863,1712492461.7068064,0.0,20.0
2864,1712492517.8997326,0.0,-5.0
2865,1712492528.9516764,-10.0,0.0
2866,1712492562.0939364,0.0,10.0
2867,1712492940.386861,0.0,-15.0
2868,1712492951.4423676,-10.0,0.0
2869,1712492995.6308837,0.0,15.0
2870,1712493051.7877905,0.0,-5.0
2871,1712493062.8363192,-10.0,0.0
2872,1712493107.022087,0.0,15.0
2873,1712493185.3432772,0.0,-15.0
2874,1712493196.4040384,-10.0,0.0
2875,1712493251.6304786,0.0,20.0
2876,1712493318.8563185,0.0,-10.0
2877,1712493329.9106085,-10.0,0.0
2878,1712493363.0452197,0.0,10.0
2879,1712493430.2787156,0.0,-10.0
2880,1712493441.3348563,-10.0,0.0
2881,1712493496.5688994,0.0,20.0
2882,1712493863.8305507,0.0,-10.0
2883,1712493874.8919315,-10.0,0.0
2884,1712493919.046976,0.0,15.0
2885,1712493986.2959044,0.0,-10.0
2886,1712493997.3440292,-10.0,0.0
2887,1712494030.4607291,0.0,10.0
2888,1712494086.6477995,0.0,-5.0
2889,1712494097.7051656,-10.0,0.0
2890,1712494130.8170323,0.0,10.0
2891,1712494198.0646079,0.0,-10.0
2892,1712494209.1161537,-10.0,0.0
2893,1712494242.2341795,0.0,10.0
2894,1712494320.5343237,0.0,-15.0
2895,1712494331.5899863,-10.0,0.0
2896,1712494397.8707078,0.0,25.0
2897,1712494765.1015344,0.0,-10.0
2898,1712494776.1511314,-10.0,0.0
2899,1712494820.3458054,0.0,15.0
2900,1712494898.6314476,0.0,-15.0
2901,1712494909.6988773,-10.0,0.0
2902,1712494964.9298513,0.0,20.0
2903,1712495021.108028,0.0,-5.0
2904,1712495032.1579502,-10.0,0.0
2905,1712495054.220152,0.0,5.0
2906,1712495110.3851874,0.0,-5.0
2907,1712495121.4538014,-10.0,0.0
2908,1712495154.5973194,0.0,10.0
2909,1712495243.9209156,0.0,-20.0
2910,1712495254.968399,-10.0,0.0
2911,1712495332.2946541,0.0,30.0
2912,1712495721.632947,0.0,-20.0
2913,1712495732.677852,-10.0,0.0
2914,1712495810.0202408,0.0,30.0
2915,1712495877.2406015,0.0,-10.0
2916,1712495888.3061593,-10.0,0.0
2917,1712495932.515371,0.0,15.0
2918,1712496010.8147976,0.0,-15.0
2919,1712496021.8693252,-10.0,0.0
2920,1712496077.1080651,0.0,20.0
2921,1712496144.335257,0.0,-10.0
2922,1712496155.3797836,-10.0,0.0
2923,1712496199.5724924,0.0,15.0
2924,1712496266.8115525,0.0,-10.0
2925,1712496277.8608449,-10.0,0.0
2926,1712496322.0223212,0.0,15.0
2927,1712496700.3173385,0.0,-15.0
2928,1712496711.3776448,-10.0,0.0
2929,1712496766.6058319,0.0,20.0
2930,1712496844.8935177,0.0,-15.0
2931,1712496855.9433384,-10.0,0.0
2932,1712496900.1355116,0.0,15.0
2933,1712496956.3238733,0.0,-5.0
2934,1712496967.378788,-10.0,0.0
2935,1712497011.5375476,0.0,15.0
2936,1712497100.8728917,0.0,-20.0
2937,1712497111.9339302,-10.0,0.0
2938,1712497178.1913884,0.0,25.0
2939,1712497267.530678,0.0,-20.0
2940,1712497278.5913825,-10.0,0.0
2941,1712497355.952252,0.0,30.0
2942,1712497723.246992,0.0,-10.0
2943,1712497734.303585,-10.0,0.0
2944,1712497778.4717515,0.0,15.0
2945,1712497867.8318198,0.0,-20.0
2946,1712497878.8815,-10.0,0.0
2947,1712497956.220431,0.0,30.0
2948,1712498045.591555,0.0,-20.0
2949,1712498056.6513827,-10.0,0.0
2950,1712498133.98411,0.0,30.0
2951,1712498223.3728628,0.0,-20.0
2952,1712498234.4204354,-10.0,0.0
2953,1712498311.7912889,0.0,30.0
2954,1712498401.1081305,0.0,-20.0
2955,1712498412.1593854,-10.0,0.0
2956,1712498478.4357576,0.0,25.0
2957,1712498845.6953866,0.0,-10.0
2958,1712498856.736526,-10.0,0.0
2959,1712498900.9164188,0.0,15.0
2960,1712498968.143068,0.0,-10.0
2961,1712498979.194599,-10.0,0.0
2962,1712499012.326804,0.0,10.0
2963,1712499068.5358028,0.0,-5.0
2964,1712499079.5807617,-10.0,0.0
2965,1712499134.8307211,0.0,20.0
2966,1712499235.2062967,0.0,-25.0
2967,1712499246.2748885,-10.0,0.0
2968,1712499312.5865095,0.0,25.0
2969,1712499368.764832,0.0,-5.0
2970,1712499379.8317933,-10.0,0.0
2971,1712499424.0012035,0.0,15.0
2972,1712499802.2946239,0.0,-15.0
2973,1712499813.3478725,-10.0,0.0
2974,1712499857.5128903,0.0,15.0
2975,1712499924.7734058,0.0,-10.0
2976,1712499935.8207383,-10.0,0.0
